Method,RTT_ms,mean_reward,std_reward,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_wire_bytes,median_wire_bytes,hybrid_rate,pqc_rate,classical_rate,fallback_rate,violation_rate,level_3_plus_rate,level_1_rate,level_3_rate,level_5_rate
IQL,0.0,-0.5974417886719471,3.7329669931049816,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,2466.0,0.7682926829268293,0.11463414634146342,0.03658536585365854,0.08048780487804878,0.06341463414634146,0.9365853658536587,0.06341463414634146,0.7975609756097561,0.13902439024390245
IQL,15.0,-1.878893456917076,4.054081053022721,366.8110796513448,360.0906066894531,473.24383544921875,2309.826972010178,2466.0,0.7506361323155216,0.10178117048346055,0.04580152671755725,0.10178117048346055,0.05852417302798982,0.9414758269720102,0.05852417302798982,0.7888040712468194,0.15267175572519084
IQL,50.0,-4.180385115176817,2.7943545779167636,463.8836876205251,463.856201171875,547.0948486328125,2345.461041337025,2466.0,0.7569620253164557,0.10632911392405064,0.020253164556962026,0.11645569620253166,0.04810126582278481,0.9518987341772152,0.04810126582278481,0.8126582278481012,0.13924050632911392
IQL,100.0,-9.056399138577014,3.9064105185589657,562.928232804264,561.065673828125,658.2759094238264,2278.2698795180722,2466.0,0.7710843373493976,0.07228915662650603,0.05301204819277108,0.10361445783132531,0.04578313253012048,0.9542168674698795,0.04578313253012048,0.8265060240963855,0.12771084337349398
IQL,200.0,-21.080686283358,4.174037145189089,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,2466.0,0.7364341085271318,0.1007751937984496,0.06201550387596899,0.10077519379844961,0.049095607235142114,0.9509043927648579,0.049095607235142114,0.772609819121447,0.17829457364341084
BCQ,0.0,-0.5974417886719471,3.7329669931049816,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,2466.0,0.7682926829268293,0.11463414634146342,0.03658536585365854,0.08048780487804878,0.06341463414634146,0.9365853658536587,0.06341463414634146,0.7975609756097561,0.13902439024390245
BCQ,15.0,-1.878893456917076,4.054081053022721,366.8110796513448,360.0906066894531,473.24383544921875,2309.826972010178,2466.0,0.7506361323155216,0.10178117048346055,0.04580152671755725,0.10178117048346055,0.05852417302798982,0.9414758269720102,0.05852417302798982,0.7888040712468194,0.15267175572519084
BCQ,50.0,-4.180385115176817,2.7943545779167636,463.8836876205251,463.856201171875,547.0948486328125,2345.461041337025,2466.0,0.7569620253164557,0.10632911392405064,0.020253164556962026,0.11645569620253166,0.04810126582278481,0.9518987341772152,0.04810126582278481,0.8126582278481012,0.13924050632911392
BCQ,100.0,-9.056399138577014,3.9064105185589657,562.928232804264,561.065673828125,658.2759094238264,2278.2698795180722,2466.0,0.7710843373493976,0.07228915662650603,0.05301204819277108,0.10361445783132531,0.04578313253012048,0.9542168674698795,0.04578313253012048,0.8265060240963855,0.12771084337349398
BCQ,200.0,-21.080686283358,4.174037145189089,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,2466.0,0.7364341085271318,0.1007751937984496,0.06201550387596899,0.10077519379844961,0.049095607235142114,0.9509043927648579,0.049095607235142114,0.772609819121447,0.17829457364341084
AWAC,0.0,-0.5974417886719471,3.7329669931049816,313.2426203285776,312.0107421875,401.0733337402344,2340.9317073170732,2466.0,0.7682926829268293,0.11463414634146342,0.03658536585365854,0.08048780487804878,0.06341463414634146,0.9365853658536587,0.06341463414634146,0.7975609756097561,0.13902439024390245
